country,product,value,rca,eci,coi,pci,cog,density,Dpt_name,rca2,rpca
Boyaca,5530,1522.66963,0,-0.313516702997745,-0.0268807065935751,-1.09916366375241,-1.60555446143503,0.268576159520555,Boyaca,0.6620262731913636,0.5135820809548373
Boyaca,5611,160161.59294,1,-0.313516702997745,-0.0268807065935751,-0.690343930246502,-0.250523896488599,0.286364312104426,Boyaca,1.183003362547846,0.9177420191876129
Boyaca,5613,47063.85821,1,-0.313516702997745,-0.0268807065935751,-0.835440153748148,-0.250523896488599,0.304908585738547,Boyaca,3.4911346999816457,2.708327896817381
Boyaca,5619,71148.76403,0,-0.313516702997745,-0.0268807065935751,-1.08301450704679,-1.55218792141743,0.275241708481214,Boyaca,0.5360459772581146,0.41584997399055373
Boyaca,5621,272.15185,0,-0.313516702997745,-0.0268807065935751,-0.321023222577139,-0.257686753041219,0.207824623121441,Boyaca,0.10111301084116413,0.07844073962364237
Boyaca,5629,4685.91883,0,-0.313516702997745,-0.0268807065935751,-0.76528698570654,-0.938601495281744,0.258006053005549,Boyaca,0.567964199891659,0.44061126801215394
Boyaca,5630,21672.44753,0,-0.313516702997745,-0.0268807065935751,-0.942815107943739,-1.20236982022488,0.275001875703838,Boyaca,0.7843901272655651,0.6085086501167184
Boyaca,5811,91.35052,0,-0.313516702997745,-0.0268807065935751,0.68752263940686,0.983772530931861,0.139830028792904,Boyaca,0.12169803862059642,0.09441004753722423
Boyaca,5813,473.44106,0,-0.313516702997745,-0.0268807065935751,1.76152516115728,2.38319362134535,0.114685126942664,Boyaca,0.2325716124953482,0.18042276802790358
Boyaca,5820,1883.45771,0,-0.313516702997745,-0.0268807065935751,2.14510652121033,2.87883615393556,0.0910756702066799,Boyaca,0.2969986551779211,0.23040352557575006
Boyaca,5914,867.4474,0,-0.313516702997745,-0.0268807065935751,-0.230619683211419,0.0213917230989181,0.174915934181872,Boyaca,0.4828502155440433,0.3745821405141123
Boyaca,5920,120.2261,0,-0.313516702997745,-0.0268807065935751,-0.00335011553614605,0.342443952448718,0.149596621532559,Boyaca,0.1595084849769974,0.12374236939197719
Boyaca,6010,4449.9654,0,-0.313516702997745,-0.0268807065935751,-0.315065089035165,-0.362637091490058,0.217471504894599,Boyaca,0.8611797554299653,0.6680799671859141
Boyaca,6020,71.17605,0,-0.313516702997745,-0.0268807065935751,0.401775769318183,1.48023232444751,0.0968180974014293,Boyaca,0.008013664755635056,0.006216784420705042
Boyaca,6110,8458.9575,0,-0.313516702997745,-0.0268807065935751,0.502236980068217,0.806466495583573,0.167560470407909,Boyaca,0.5042966134138334,0.39121967605157015
Boyaca,6120,13361.42339,0,-0.313516702997745,-0.0268807065935751,0.727777610983293,1.31072400739059,0.149246039526204,Boyaca,0.749316855224444,0.5812997540800996
Boyaca,6130,532.00003,0,-0.313516702997745,-0.0268807065935751,-0.528125659965979,-0.516903049533256,0.22203529160765,Boyaca,0.3669916217116155,0.2847021763396998
Boyaca,6190,4105.42819,0,-0.313516702997745,-0.0268807065935751,0.676058876250055,1.20596711008662,0.130393052596735,Boyaca,0.3984762850172052,0.3091271267585077
Boyaca,6201,15524.16679,0,-0.313516702997745,-0.0268807065935751,2.55284766228606,3.01969323733037,0.0777088747646176,Boyaca,0.5421590920630563,0.42059236315209436
Boyaca,6202,6413.77641,0,-0.313516702997745,-0.0268807065935751,1.69758342679722,2.59445270478104,0.130432337163934,Boyaca,0.4903007865091572,0.3803620919986946
Boyaca,6209,375.1925,0,-0.313516702997745,-0.0268807065935751,2.55284766228606,3.01969323733037,0.0777088747646176,Boyaca,0.0691857379602909,0.05367242466489139
Boyaca,6311,364.804,0,-0.313516702997745,-0.0268807065935751,1.23932301924471,2.31768903250831,0.0937061155506506,Boyaca,0.15242922104763965,0.11825046786525766
