fecha,clae3,total_fob
2007-06-01,261,37325
2007-06-01,262,2466751
2007-06-01,263,337430
2007-06-01,264,976087
2007-06-01,265,3090356
2007-06-01,266,2948609
2007-06-01,267,165397
2007-06-01,271,7331499
2007-06-01,272,838810
2007-06-01,273,5004248
2007-06-01,274,612053
2007-06-01,275,4133822
2007-06-01,279,2195169
2007-06-01,281,29792228
2007-06-01,282,32687068
2007-06-01,291,429413632
2007-06-01,292,1416913
2007-06-01,293,67868448
2007-06-01,301,17471176
2007-06-01,302,-99
2007-06-01,303,1614977
2007-06-01,309,159192
2007-06-01,310,3142209
2007-06-01,321,168589
2007-06-01,322,101197
2007-06-01,323,165562
2007-06-01,324,126717
2007-06-01,329,12061625
2007-06-01,331,584663
2007-06-01,332,1554046
2007-06-01,351,4727596
2007-06-01,381,-99
2007-06-01,382,1420290
2007-06-01,410,539179
2007-06-01,421,137469
2007-06-01,422,518405
2007-06-01,429,199030
2007-06-01,431,-99
2007-06-01,432,623931
2007-06-01,433,-99
2007-06-01,439,-99
2007-06-01,451,522065
2007-06-01,452,186543
2007-06-01,453,4289907
2007-06-01,454,56019
2007-06-01,461,33414636
2007-06-01,462,293485248
2007-06-01,463,61955644
2007-06-01,464,22171298
2007-06-01,465,9007379
2007-06-01,466,13384514
2007-06-01,469,22469896
2007-06-01,471,6831750
2007-06-01,472,92293
2007-06-01,475,488441
2007-06-01,476,287512
2007-06-01,477,3818041
2007-06-01,478,-99
2007-06-01,479,38041
2007-06-01,492,2081313
2007-06-01,493,-99
2007-06-01,501,119078
2007-06-01,511,35123248
2007-06-01,512,-99
2007-06-01,522,6897339
2007-06-01,523,3726787
2007-06-01,524,258661
2007-06-01,551,-99
2007-06-01,561,104439
2007-06-01,581,2190232
2007-06-01,591,913839
2007-06-01,592,-99
2007-06-01,602,680241
2007-06-01,611,-99
2007-06-01,612,-99
2007-06-01,613,-99
2007-06-01,614,-99
2007-06-01,619,-99
2007-06-01,620,1001215
2007-06-01,649,208331
2007-06-01,651,-99
2007-06-01,661,-99
2007-06-01,681,9121239
2007-06-01,682,109455
2007-06-01,691,29957
2007-06-01,692,-99
2007-06-01,702,2676047
2007-06-01,711,981297
2007-06-01,721,302482
2007-06-01,731,42995
2007-06-01,741,-99
2007-06-01,742,-99
2007-06-01,749,457834
2007-06-01,750,15610
2007-06-01,771,376729
2007-06-01,773,1763290
2007-06-01,774,-99
2007-06-01,791,-99
2007-06-01,821,-99
2007-06-01,822,-99
2007-06-01,823,-99
2007-06-01,829,5944500
2007-06-01,851,-99
2007-06-01,854,-99
2007-06-01,855,-99
2007-06-01,863,412355
2007-06-01,869,-99
2007-06-01,900,253597
2007-06-01,920,-99
2007-06-01,939,42786
2007-06-01,941,-99
2007-06-01,949,702716
2007-06-01,952,-99
2007-06-01,960,1700742
2007-06-01,999,899816
2007-07-01,11,21932328
2007-07-01,12,25903130
2007-07-01,13,1597352
2007-07-01,14,12308600
2007-07-01,16,793630
2007-07-01,17,117342
2007-07-01,21,613721
2007-07-01,22,1724409
2007-07-01,24,-99
2007-07-01,31,62477652
2007-07-01,32,-99
2007-07-01,51,-99
