fecha,clae3,empresas
2007-06-01,222,288
2007-06-01,231,25
2007-06-01,239,84
2007-06-01,241,50
2007-06-01,242,12
2007-06-01,243,28
2007-06-01,251,21
2007-06-01,252,3
2007-06-01,259,250
2007-06-01,261,3
2007-06-01,262,11
2007-06-01,263,10
2007-06-01,264,10
2007-06-01,265,39
2007-06-01,266,44
2007-06-01,267,6
2007-06-01,271,42
2007-06-01,272,4
2007-06-01,273,17
2007-06-01,274,15
2007-06-01,275,49
2007-06-01,279,48
2007-06-01,281,108
2007-06-01,282,231
2007-06-01,291,11
2007-06-01,292,13
2007-06-01,293,218
2007-06-01,301,13
2007-06-01,302,-99
2007-06-01,303,-99
2007-06-01,309,7
2007-06-01,310,50
2007-06-01,321,4
2007-06-01,322,5
2007-06-01,323,7
2007-06-01,324,5
2007-06-01,329,56
2007-06-01,331,13
2007-06-01,332,6
2007-06-01,351,3
2007-06-01,381,-99
2007-06-01,382,9
2007-06-01,410,16
2007-06-01,421,3
2007-06-01,422,9
2007-06-01,429,5
2007-06-01,431,-99
2007-06-01,432,12
2007-06-01,433,-99
2007-06-01,439,-99
2007-06-01,451,4
2007-06-01,452,5
2007-06-01,453,45
2007-06-01,454,3
2007-06-01,461,63
2007-06-01,462,70
2007-06-01,463,169
2007-06-01,464,226
2007-06-01,465,132
2007-06-01,466,89
2007-06-01,469,117
2007-06-01,471,9
2007-06-01,472,6
2007-06-01,475,16
2007-06-01,476,14
2007-06-01,477,83
2007-06-01,478,-99
2007-06-01,479,4
2007-06-01,492,19
2007-06-01,493,-99
2007-06-01,501,3
2007-06-01,511,3
2007-06-01,512,-99
2007-06-01,522,18
2007-06-01,523,63
2007-06-01,524,6
2007-06-01,551,-99
2007-06-01,561,6
2007-06-01,581,93
2007-06-01,591,16
2007-06-01,592,-99
2007-06-01,602,8
2007-06-01,611,-99
2007-06-01,612,-99
2007-06-01,613,-99
2007-06-01,614,-99
2007-06-01,619,-99
2007-06-01,620,20
2007-06-01,649,4
2007-06-01,651,-99
2007-06-01,661,-99
2007-06-01,681,39
2007-06-01,682,3
2007-06-01,691,3
2007-06-01,692,-99
2007-06-01,702,43
2007-06-01,711,24
2007-06-01,721,8
2007-06-01,731,6
2007-06-01,741,-99
2007-06-01,742,-99
2007-06-01,749,6
2007-06-01,750,3
2007-06-01,771,3
2007-06-01,773,11
2007-06-01,774,-99
2007-06-01,791,-99
2007-06-01,821,-99
2007-06-01,822,-99
2007-06-01,823,-99
2007-06-01,829,38
2007-06-01,851,-99
2007-06-01,854,-99
2007-06-01,855,-99
2007-06-01,863,3
2007-06-01,869,-99
2007-06-01,900,3
2007-06-01,920,-99
2007-06-01,939,4
2007-06-01,941,-99
2007-06-01,949,12
2007-06-01,952,-99
2007-06-01,960,18
2007-06-01,999,28
2007-07-01,11,98
2007-07-01,12,86
2007-07-01,13,17
2007-07-01,14,37
2007-07-01,16,9
2007-07-01,17,3
2007-07-01,21,3
2007-07-01,22,12
2007-07-01,24,-99
2007-07-01,31,56
2007-07-01,32,-99
2007-07-01,51,-99
2007-07-01,61,14
2007-07-01,62,3
2007-07-01,72,6
2007-07-01,81,21
2007-07-01,89,17
2007-07-01,91,22
2007-07-01,99,-99
2007-07-01,101,99
2007-07-01,102,62
2007-07-01,103,109
2007-07-01,104,37
2007-07-01,105,27
2007-07-01,106,56
2007-07-01,107,170
2007-07-01,108,18
2007-07-01,109,4
2007-07-01,110,157
2007-07-01,120,10
2007-07-01,131,69
2007-07-01,139,98
2007-07-01,141,96
2007-07-01,142,5
2007-07-01,143,18
2007-07-01,151,73
2007-07-01,152,43
2007-07-01,161,37
2007-07-01,162,36
2007-07-01,170,91
2007-07-01,181,50
2007-07-01,182,-99
2007-07-01,191,3
2007-07-01,192,16
2007-07-01,201,73
2007-07-01,202,259
2007-07-01,203,-99
2007-07-01,204,-99
2007-07-01,210,136
2007-07-01,221,54
2007-07-01,222,298
2007-07-01,231,26
2007-07-01,239,92
2007-07-01,241,44
2007-07-01,242,12
2007-07-01,243,30
2007-07-01,251,29
2007-07-01,252,3
2007-07-01,259,267
2007-07-01,261,3
2007-07-01,262,12
2007-07-01,263,10
2007-07-01,264,14
2007-07-01,265,39
2007-07-01,266,48
2007-07-01,267,3
2007-07-01,271,37
2007-07-01,272,5
2007-07-01,273,18
2007-07-01,274,19
2007-07-01,275,52
2007-07-01,279,49
2007-07-01,281,111
2007-07-01,282,244
2007-07-01,291,11
2007-07-01,292,12
2007-07-01,293,220
2007-07-01,301,7
2007-07-01,302,3
2007-07-01,303,-99
2007-07-01,309,7
2007-07-01,310,53
2007-07-01,321,5
2007-07-01,322,5
2007-07-01,323,12
2007-07-01,324,5
2007-07-01,329,60
2007-07-01,331,18
2007-07-01,332,3
2007-07-01,351,-99
2007-07-01,370,-99
2007-07-01,381,3
2007-07-01,382,6
2007-07-01,410,12
2007-07-01,421,3
2007-07-01,422,3
2007-07-01,429,3
2007-07-01,432,10
2007-07-01,433,-99
2007-07-01,439,6
2007-07-01,451,7
2007-07-01,452,-99
2007-07-01,453,39
2007-07-01,454,4
2007-07-01,461,59
2007-07-01,462,72
2007-07-01,463,178
2007-07-01,464,203
2007-07-01,465,145
2007-07-01,466,94
2007-07-01,469,116
2007-07-01,471,10
2007-07-01,472,3
2007-07-01,474,3
2007-07-01,475,13
2007-07-01,476,18
2007-07-01,477,89
2007-07-01,478,-99
2007-07-01,479,5
2007-07-01,492,25
2007-07-01,493,-99
2007-07-01,501,4
2007-07-01,511,4
2007-07-01,512,-99
2007-07-01,521,-99
2007-07-01,522,12
2007-07-01,523,55
2007-07-01,524,7
2007-07-01,551,-99
2007-07-01,561,7
2007-07-01,581,100
2007-07-01,591,16
2007-07-01,592,-99
2007-07-01,602,6
2007-07-01,612,-99
2007-07-01,613,-99
2007-07-01,614,-99
2007-07-01,619,5
2007-07-01,620,22
2007-07-01,649,6
2007-07-01,661,-99
2007-07-01,681,44
2007-07-01,682,4
2007-07-01,691,-99
2007-07-01,692,-99
2007-07-01,702,47
2007-07-01,711,30
2007-07-01,712,3
2007-07-01,721,4
2007-07-01,731,3
2007-07-01,741,-99
2007-07-01,749,4
2007-07-01,750,-99
2007-07-01,771,-99
2007-07-01,773,10
2007-07-01,774,-99
2007-07-01,791,-99
2007-07-01,812,-99
2007-07-01,821,3
2007-07-01,822,-99
2007-07-01,823,-99
2007-07-01,829,31
2007-07-01,853,-99
2007-07-01,854,-99
2007-07-01,861,-99
2007-07-01,863,-99
2007-07-01,869,-99
2007-07-01,900,6
2007-07-01,920,-99
2007-07-01,939,3
2007-07-01,941,-99
